Nom^Equip^Posicio^Altura^Pes^Edat
Adam Donachie^BAL^Base^198.81^92.34^23
Paul Bako^BAL^Base^198.81^110.3^35
Ramon Hernandez^BAL^Base^193.42^107.73^31
Kevin Millar^BAL^Pivot^193.42^107.73^35
Chris Gomez^BAL^Pivot^196.11^96.44^36
Brian Roberts^BAL^Aler^185.37^90.29^29
Miguel Tejada^BAL^Ala-pivot^185.37^107.22^31
Melvin Mora^BAL^Aler^190.75^102.6^35
Aubrey Huff^BAL^Aler^204.17^118.5^30
Adam Stern^BAL^Escorta^190.75^92.34^27
Jeff Fiorentino^BAL^Escorta^196.11^96.44^24
Freddie Bynum^BAL^Escorta^196.11^92.34^27
Nick Markakis^BAL^Escorta^198.81^94.91^23
Brandon Fahey^BAL^Escorta^198.81^82.08^26
Corey Patterson^BAL^Escorta^185.37^92.34^28
Jay Payton^BAL^Escorta^188.06^94.91^34
Jay Gibbons^BAL^Aler^193.42^101.06^30
Erik Bedard^BAL^Base^196.11^96.96^28
Hayden Penn^BAL^Base^201.5^94.91^22
Adam Loewen^BAL^Base^209.55^112.35^23
Daniel Cabrera^BAL^Base^212.24^117.99^26
Steve Trachsel^BAL^Base^204.17^105.17^36
Jaret Wright^BAL^Base^198.81^117.99^31
Kris Benson^BAL^Base^204.17^100.04^32
Scott Williamson^BAL^Pivot^193.42^92.34^31
John Parrish^BAL^Pivot^190.75^98.5^29
Danys Baez^BAL^Pivot^201.5^115.43^29
Chad Bradford^BAL^Pivot^206.86^104.14^32
Jamie Walker^BAL^Pivot^198.81^100.04^36
Brian Burres^BAL^Pivot^196.11^93.37^26
Kurt Birkins^BAL^Pivot^198.81^96.44^27
James Hoey^BAL^Pivot^209.55^102.6^24
Sendy Rleal^BAL^Pivot^196.11^92.34^27
Chris Ray^BAL^Pivot^201.5^102.6^25
Jeremy Guthrie^BAL^Pivot^196.11^102.6^28
A.J. Pierzynski^CWS^Base^201.5^125.69^30
Toby Hall^CWS^Base^201.5^123.12^31
Paul Konerko^CWS^Pivot^198.81^110.3^31
Tadahito Iguchi^CWS^Aler^185.37^94.91^32
Juan Uribe^CWS^Ala-pivot^190.75^89.78^28
Alex Cintron^CWS^Ala-pivot^198.81^102.09^28
Joe Crede^CWS^Aler^196.11^102.6^29
Josh Fields^CWS^Aler^196.11^110.3^24
Ryan Sweeney^CWS^Escorta^204.17^102.6^22
Brian N. Anderson^CWS^Escorta^198.81^105.17^25
Luis Terrero^CWS^Escorta^198.81^105.68^27
Pablo Ozuna^CWS^Escorta^188.06^95.42^33
Scott Podsednik^CWS^Escorta^193.42^96.44^31
Jermaine Dye^CWS^Escorta^206.86^112.86^33
Darin Erstad^CWS^Escorta^198.81^107.73^33
Rob Mackowiak^CWS^Escorta^188.06^100.04^31
Jim Thome^CWS^Aler^204.17^125.17^37
Jerry Owens^CWS^Aler^201.5^100.04^26
Charlie Haeger^CWS^Base^196.11^102.6^23
Heath Phillips^CWS^Base^201.5^102.6^25
Gavin Floyd^CWS^Base^204.17^108.76^24
Jose Contreras^CWS^Base^204.17^114.91^35
Jon Garland^CWS^Base^209.55^107.73^27
Javier Vazquez^CWS^Base^198.81^105.17^31
Mark Buehrle^CWS^Base^198.81^112.86^28
Mike MacDougal^CWS^Pivot^204.17^100.04^30
